'Monday, April 01, 2019 12:15 PM',3.19
'Friday, May 31, 2019 10:31 PM',4.19
'Wednesday, May 29, 2019 05:55 PM',1.0
'Friday, May 31, 2019 10:18 PM',3.19
'Friday, May 31, 2019 11:15 PM',10.92
'Monday, May 27, 2019 09:11 PM',3.0
'Friday, May 31, 2019 11:35 PM',3.19
'Wednesday, May 29, 2019 05:55 PM',5.34
'Wednesday, May 29, 2019 04:56 PM',3.28
'Wednesday, May 29, 2019 05:12 PM',6.19
'Wednesday, May 29, 2019 04:03 PM',3.95
'Wednesday, May 29, 2019 05:27 PM',5.73
'Wednesday, May 29, 2019 03:26 PM',4.29
'Saturday, July 13, 2019 10:36 PM',3.0
'Saturday, July 13, 2019 06:32 PM',7.27
'Saturday, July 13, 2019 11:42 PM',3.0
'Saturday, July 13, 2019 10:23 PM',3.69
'Saturday, July 13, 2019 06:46 PM',3.44
'Saturday, July 13, 2019 09:01 AM',9.8
'Saturday, July 13, 2019 09:16 AM',9.12
'Saturday, July 13, 2019 08:24 PM',6.46
'Saturday, July 13, 2019 07:47 AM',7.79
'Saturday, July 13, 2019 08:06 AM',6.14
'Saturday, July 13, 2019 08:36 PM',10.41
'Saturday, July 13, 2019 08:42 AM',4.67
'Saturday, July 13, 2019 09:58 PM',6.33
'Monday, June 03, 2019 03:24 PM',8.12
'Monday, June 03, 2019 05:33 PM',3.57
'Monday, June 03, 2019 07:04 PM',8.82
'Monday, June 03, 2019 06:42 PM',4.94
'Monday, June 03, 2019 06:13 PM',14.43
'Monday, June 03, 2019 07:19 PM',4.51
'Tuesday, May 14, 2019 12:02 AM',3.19
'Monday, May 13, 2019 11:46 PM',3.33
'Monday, May 13, 2019 04:42 PM',4.47
'Monday, May 13, 2019 11:18 PM',9.28
'Monday, May 13, 2019 01:38 PM',9.39
'Monday, May 13, 2019 04:20 PM',8.12
'Monday, May 13, 2019 01:06 PM',3.19
'Monday, May 13, 2019 11:56 PM',3.19
'Monday, May 13, 2019 02:23 PM',8.84
'Monday, May 13, 2019 01:19 PM',3.19
'Monday, May 13, 2019 11:39 PM',4.19
'Monday, May 13, 2019 03:39 PM',7.41
'Monday, May 13, 2019 10:49 PM',26.2
'Wednesday, July 10, 2019 11:53 AM',3.59
'Wednesday, July 10, 2019 03:44 PM',14.7
'Wednesday, July 10, 2019 12:01 PM',8.64
'Wednesday, July 10, 2019 11:13 AM',4.97
'Wednesday, July 10, 2019 03:04 PM',5.29
'Wednesday, July 10, 2019 02:23 PM',5.37
'Thursday, June 06, 2019 03:37 PM',7.3
'Thursday, June 06, 2019 04:13 PM',7.13
'Thursday, June 06, 2019 10:41 PM',17.83
'Friday, June 07, 2019 01:28 AM',5.2
'Friday, June 07, 2019 01:58 AM',25.44
'Thursday, June 06, 2019 11:16 PM',3.98
'Wednesday, June 05, 2019 07:58 PM',3.0
'Friday, June 07, 2019 12:55 AM',3.2
'Friday, June 07, 2019 01:21 AM',3.0
'Thursday, June 06, 2019 11:24 PM',15.67
'Thursday, June 06, 2019 03:49 PM',7.87
'Thursday, June 06, 2019 02:22 PM',12.8
'Thursday, June 06, 2019 02:01 PM',6.87
'Thursday, June 06, 2019 04:44 PM',8.11
'Thursday, June 06, 2019 04:57 PM',20.35
'Friday, June 07, 2019 01:40 AM',4.19
'Wednesday, June 05, 2019 04:41 PM',1.0
'Thursday, June 06, 2019 04:30 PM',3.67
'Thursday, June 06, 2019 01:34 PM',9.61
'Friday, June 07, 2019 01:06 AM',4.51
'Friday, June 07, 2019 12:52 AM',3.19
'Thursday, June 06, 2019 03:01 PM',5.35
'Friday, July 19, 2019 04:04 PM',3.19
'Friday, July 19, 2019 04:55 PM',19.34
'Friday, July 19, 2019 03:47 PM',7.51
'Friday, July 19, 2019 03:42 PM',4.26
'Friday, July 19, 2019 06:13 PM',8.99
'Friday, July 19, 2019 04:15 PM',6.77
'Friday, May 17, 2019 09:39 PM',6.94
'Friday, May 17, 2019 03:03 PM',10.69
'Friday, May 17, 2019 03:59 PM',12.75
'Friday, May 17, 2019 03:18 PM',3.19
'Thursday, May 16, 2019 10:52 AM',3.31
'Saturday, May 18, 2019 12:11 AM',3.19
'Wednesday, May 15, 2019 01:35 PM',3.0
'Friday, May 17, 2019 09:54 PM',7.28
'Wednesday, May 15, 2019 05:16 PM',4.85
'Friday, May 17, 2019 10:25 PM',17.53
'Friday, May 17, 2019 11:19 PM',12.07
'Saturday, May 18, 2019 12:04 AM',3.2
'Friday, May 17, 2019 10:59 PM',3.2
'Friday, May 17, 2019 10:18 PM',3.34
'Sunday, July 14, 2019 10:47 AM',4.19
'Sunday, July 14, 2019 06:42 PM',4.89
'Sunday, July 14, 2019 11:01 AM',9.04
'Monday, March 11, 2019 01:51 PM',3.2
'Wednesday, March 13, 2019 05:07 PM',3.19
'Monday, March 11, 2019 02:20 PM',5.7
'Monday, March 11, 2019 04:48 PM',9.69
'Friday, March 15, 2019 06:10 PM',4.04
'Monday, March 11, 2019 05:35 PM',4.33
'Tuesday, March 12, 2019 03:49 PM',4.87
'Tuesday, March 12, 2019 02:51 PM',10.81
'Thursday, March 14, 2019 10:30 PM',13.57
'Thursday, March 14, 2019 09:22 PM',5.04
'Monday, March 11, 2019 11:51 AM',10.44
'Monday, March 11, 2019 11:57 AM',6.7
'Wednesday, March 13, 2019 01:22 PM',10.38
'Thursday, March 14, 2019 10:10 PM',5.26
'Friday, March 15, 2019 01:53 PM',5.73
'Friday, March 15, 2019 02:44 PM',9.85
'Tuesday, March 12, 2019 03:15 PM',7.67
'Monday, March 11, 2019 12:21 PM',17.25
'Friday, March 15, 2019 03:38 PM',17.96
'Tuesday, March 12, 2019 02:21 PM',14.79
'Wednesday, March 13, 2019 05:35 PM',3.2
'Wednesday, March 13, 2019 03:21 PM',7.44
'Friday, March 15, 2019 01:44 PM',3.21
'Wednesday, March 13, 2019 04:45 PM',4.19
